file,line,env,kind
agent/webui_ha.py,19,INTELLECT_WEBUI_WORKERS,tuning
agent/conversation_loop.py,4214,INTELLECT_KANBAN_TASK,global-ok
agent/prompt_builder.py,693,TERMINAL_CWD,global-ok
agent/prompt_builder.py,787,TERMINAL_ENV,global-ok
agent/agent_init.py,1684,TERMINAL_CWD,global-ok
agent/shell_hooks.py,765,INTELLECT_ACCEPT_HOOKS,tuning
agent/system_prompt.py,321,TERMINAL_CWD,global-ok
agent/timing.py,25,INTELLECT_TIMING_JSON,tuning
agent/azure_identity_adapter.py,366,AZURE_TENANT_ID,tuning
agent/azure_identity_adapter.py,367,AZURE_TENANT_ID,tuning
agent/azure_identity_adapter.py,371,AZURE_FEDERATED_TOKEN_FILE,credential
agent/azure_identity_adapter.py,373,AZURE_CLIENT_ID,credential
agent/azure_identity_adapter.py,374,AZURE_CLIENT_SECRET,credential
agent/azure_identity_adapter.py,375,AZURE_TENANT_ID,tuning
agent/azure_identity_adapter.py,377,IDENTITY_ENDPOINT,tuning
agent/auxiliary_client.py,1270,ONTOWEB_INFERENCE_BASE_URL,tuning
agent/auxiliary_client.py,1285,INTELLECT_ONTOWEB_TIMEOUT_SECONDS,tuning
agent/auxiliary_client.py,1329,XAI_BASE_URL,tuning
agent/auxiliary_client.py,1522,OPENROUTER_API_KEY,credential
agent/auxiliary_client.py,1539,OPENROUTER_API_KEY,credential
agent/auxiliary_client.py,1747,OPENAI_BASE_URL,tuning
agent/auxiliary_client.py,1748,OPENAI_API_KEY,credential
agent/auxiliary_client.py,2766,INTELLECT_ONTOWEB_TIMEOUT_SECONDS,tuning
agent/auxiliary_client.py,3026,OPENAI_BASE_URL,tuning
agent/auxiliary_client.py,3428,OPENAI_API_KEY,credential
agent/auxiliary_client.py,4156,OPENROUTER_API_KEY,credential
agent/copilot_acp_client.py,59,COPILOT_CLI_PATH,tuning
agent/copilot_acp_client.py,83,HOME,global-ok
agent/redact.py,78,INTELLECT_REDACT_SECRETS,global-ok
agent/chat_completion_helpers.py,1154,OLLAMA_API_KEY,credential
agent/chat_completion_helpers.py,1782,INTELLECT_API_TIMEOUT,global-ok
agent/safe_print.py,26,INTELLECT_REDACT_SECRETS,global-ok
agent/tool_executor.py,269,TERMINAL_CWD,global-ok
agent/tool_executor.py,735,TERMINAL_CWD,global-ok
agent/background_review.py,317,INTELLECT_SESSION_SOURCE,global-ok
agent/conversation_compression.py,529,INTELLECT_SESSION_SOURCE,global-ok
agent/anthropic_adapter.py,1145,ANTHROPIC_TOKEN,credential
agent/anthropic_adapter.py,1153,CLAUDE_CODE_OAUTH_TOKEN,credential
agent/anthropic_adapter.py,1180,ANTHROPIC_API_KEY,credential
agent/oauth/runtime_settings.py,85,INTELLECT_OAUTH_CREDENTIAL_POOL_BACKEND,tuning
agent/cache/factory.py,18,INTELLECT_CACHE_BACKEND,tuning
agent/secret_sources/bitwarden.py,95,INTELLECT_HOME,global-ok
agent/lsp/servers.py,263,VIRTUAL_ENV,global-ok
agent/lsp/servers.py,264,VIRTUAL_ENV,global-ok
agent/lsp/install.py,120,INTELLECT_HOME,global-ok
agent/events/redis_url.py,16,INTELLECT_REDIS_URL,tuning
agent/events/factory.py,13,INTELLECT_EVENTS_BACKEND,tuning
gateway/shutdown_forensics.py,137,INVOCATION_ID,tuning
gateway/shutdown_forensics.py,140,JOURNAL_STREAM,tuning
gateway/shutdown_forensics.py,171,INTELLECT_HOME,global-ok
gateway/shutdown_forensics.py,339,INVOCATION_ID,tuning
gateway/run.py,109,INTELLECT_AGENT_CACHE_MAX_SIZE,tuning
gateway/run.py,250,_INTELLECT_GATEWAY,tuning
gateway/run.py,507,INTELLECT_MAX_ITERATIONS,global-ok
gateway/run.py,555,INTELLECT_TIMEZONE,tuning
gateway/run.py,567,INTELLECT_REDACT_SECRETS,global-ok
gateway/run.py,699,INTELLECT_QUIET,tuning
gateway/run.py,715,TERMINAL_CWD,global-ok
gateway/run.py,719,MESSAGING_CWD,tuning
gateway/run.py,721,TERMINAL_CWD,global-ok
gateway/run.py,1690,TERMINAL_ENV,global-ok
gateway/run.py,1702,TERMINAL_DOCKER_VOLUMES,global-ok
gateway/run.py,1944,INTELLECT_MAX_ITERATIONS,global-ok
gateway/run.py,1972,INTELLECT_REDACT_SECRETS,global-ok
gateway/run.py,2182,GATEWAY_ALLOW_ALL_USERS,tuning
gateway/run.py,5842,TERMINAL_CWD,global-ok
gateway/run.py,7375,TERMINAL_CWD,global-ok
gateway/config_helpers.py,119,INTELLECT_MAX_ITERATIONS,global-ok
gateway/config.py,506,TWILIO_ACCOUNT_SID,tuning
gateway/config.py,527,DINGTALK_CLIENT_ID,credential
gateway/config.py,528,DINGTALK_CLIENT_SECRET,credential
gateway/config.py,1053,SLACK_REQUIRE_MENTION,tuning
gateway/config.py,1054,SLACK_REQUIRE_MENTION,tuning
gateway/config.py,1055,SLACK_STRICT_MENTION,tuning
gateway/config.py,1056,SLACK_STRICT_MENTION,tuning
gateway/config.py,1057,SLACK_ALLOW_BOTS,tuning
gateway/config.py,1058,SLACK_ALLOW_BOTS,tuning
gateway/config.py,1060,SLACK_FREE_RESPONSE_CHANNELS,tuning
gateway/config.py,1063,SLACK_FREE_RESPONSE_CHANNELS,tuning
gateway/config.py,1064,SLACK_REACTIONS,tuning
gateway/config.py,1065,SLACK_REACTIONS,tuning
gateway/config.py,1068,SLACK_ALLOWED_CHANNELS,tuning
gateway/config.py,1071,SLACK_ALLOWED_CHANNELS,tuning
